year,agency_location,incident_date,incident_hour,agency_name,state,population,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,offense_name,offense_category_name,criminal_act_name,location_area
2021,2143,2021-11-03,17,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Service/Gas Station
2021,2143,2021-11-03,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-11-03,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Hotel/Motel/Etc.
2021,2143,2021-11-03,21,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-11-03,21,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-09-07,11,Ansonia,Connecticut,18452,32,1,33,6,9,15,Pornography/Obscene Material,Pornography/Obscene Material,Transporting/Transmitting/Importing,Other/Unknown
2021,2143,2021-11-10,9,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-11-10,17,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-11-10,17,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-11-17,20,East Windsor,Connecticut,11702,20,5,25,6,5,11,Animal Cruelty,Animal Cruelty,Intentional Abuse and Torture,Residence/Home
2021,2120,2021-09-20,21,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2120,2021-09-20,21,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2143,2021-11-19,10,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Cultivating/Manufacturing/Publishing,Amusement Park
2021,2143,2021-11-19,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2143,2021-11-19,18,East Windsor,Connecticut,11702,20,5,25,6,5,11,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Highway/Road/Alley/Street/Sidewalk
2021,2120,2021-09-30,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2120,2021-09-30,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Residence/Home
2021,2120,2021-09-30,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,Residence/Home
2021,2143,2021-12-15,17,East Windsor,Connecticut,11702,20,5,25,6,5,11,Counterfeiting/Forgery,Counterfeiting/Forgery,Distributing/Selling,Parking/Drop Lot/Garage
2021,2120,2021-10-06,11,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Cultivating/Manufacturing/Publishing,Residence/Home
2021,2120,2021-10-08,15,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Using/Consuming,Residence/Home
2021,2120,2021-10-10,2,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,Other/Unknown
2021,2120,2021-10-11,9,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug Equipment Violations,Drug/Narcotic Offenses,Possessing/Concealing,Parking/Drop Lot/Garage
2021,2120,2021-10-14,7,Ansonia,Connecticut,18452,32,1,33,6,9,15,Drug/Narcotic Violations,Drug/Narcotic Offenses,Possessing/Concealing,School/College
2021,2120,2021-10-18,10,Ansonia,Connecticut,18452,32,1,33,6,9,15,Weapon Law Violations,Weapon Law Violations,Possessing/Concealing,School/College
